Apartments in Mumbai,,,,,,
Owner_info,BHK_Info,Price,Locality,Area in Sqft,Construction status,Price per/sqft
BUILDER,1, 32.29 L,Ambernath East,494,Under Construction,"6,536 / sq ft"
BUILDER,2, 85 L,Ulwe,1165,Under Construction,"7,296 / sq ft"
BUILDER,2, 2.05 Cr,Kandivali West,836,Under Construction,"24,583 / sq ft"
BUILDER,1, 1.13 Cr,Kandivali West,444,Under Construction,"25,450 / sq ft"
BUILDER,1, 18.99 L,Khopoli,407,Ready to move,"4,666 / sq ft"
BUILDER,2, 58.5 L,Kalyan West,635,Ready to move,"9,212 / sq ft"
BUILDER,2, 1.86 Cr,Goregaon East,666,Under Construction,"28,012 / sq ft"
BUILDER,3, 3.28 Cr,Dahisar,1177,Ready to move,"27,867 / sq ft"
BUILDER,1, 95.4 L,Kurla,456,Under Construction,"20,921 / sq ft"
BUILDER,2, 1.68 Cr,Kurla,723,Ready to move,"23,236 / sq ft"
BUILDER,1, 18 L,Saphale,383,Ready to move,"4,699 / sq ft"
BUILDER,1, 21 L,Panvel,300,Under Construction,"7,000 / sq ft"
BUILDER,2, 25.98 L,Neral,402,Under Construction,"6,481 / sq ft"
BUILDER,1, 34.42 L,Dombivali,675,Ready to move,"5,100 / sq ft"
BUILDER,1, 33.96 L,Kewale,675,Under Construction,"5,032 / sq ft"
BUILDER,1, 27.3 L,Diva,330,Under Construction,"8,272 / sq ft"
BUILDER,1, 38.5 L,Dronagiri,444,Under Construction,"8,671 / sq ft"
BUILDER,2, 1.8 Cr,Vashi,1090,Under Construction,"16,513 / sq ft"
BUILDER,2, 2.3 Cr,Borivali East,935,Under Construction,"24,598 / sq ft"
BUILDER,2, 2.3 Cr,Santacruz East,613,Under Construction,"37,520 / sq ft"
BUILDER,2, 48.12 L,Kalyan East,909,Ready to move,"5,293 / sq ft"
BUILDER,2, 1.87 Cr,Chembur,706,Under Construction,"26,487 / sq ft"
BUILDER,2, 1.33 Cr,Ghatkopar West,615,Under Construction,"21,811 / sq ft"
BUILDER,2, 43 L,Badlapur East,683,Under Construction,"6,296 / sq ft"
BUILDER,1, 32.33 L,Kalyan West,525,Under Construction,"6,158 / sq ft"
OWNER,Residential Plot, 5 L,kasaradavali thane west,1000,Resale,500 / sq ft
AGENT,1, 28 L,kasaradavali thane west,324,Ready to move,"8,641 / sq ft"
AGENT,1, 42 L,kasaradavali thane west,620,Ready to move,"6,774 / sq ft"
AGENT,1, 55 L,kasaradavali thane west,650,Ready to move,"8,461 / sq ft"
AGENT,1, 72 L,kasaradavali thane west,791,Ready to move,"9,102 / sq ft"
AGENT,1, 72 L,kasaradavali thane west,791,Ready to move,"9,102 / sq ft"
AGENT,1, 72 L,kasaradavali thane west,791,Ready to move,"9,102 / sq ft"
AGENT,1, 72 L,kasaradavali thane west,790,Ready to move,"9,113 / sq ft"
AGENT,1, 72 L,kasaradavali thane west,791,Ready to move,"9,102 / sq ft"
AGENT,1, 72 L,kasaradavali thane west,791,Ready to move,"9,102 / sq ft"
AGENT,1, 72 L,kasaradavali thane west,790,Ready to move,"9,113 / sq ft"
AGENT,1, 58 L,Kandivali East,400,Ready to move,"14,500 / sq ft"
AGENT,1, 54 L,Mira Road East,680,Ready to move,"7,941 / sq ft"
AGENT,1, 59 L,kasaradavali thane west,667,Ready to move,"8,845 / sq ft"
AGENT,1, 27.95 L,Shil Phata,610,Under Construction,"4,581 / sq ft"
AGENT,1, 27.95 L,Shil Phata,610,Under Construction,"4,581 / sq ft"
AGENT,2, 90 L,Ulwe,1200,Ready to move,"7,500 / sq ft"
AGENT,2, 58.5 L,kasaradavali thane west,765,Ready to move,"7,647 / sq ft"
AGENT,2, 82 L,kasaradavali thane west,837,Under Construction,"9,796 / sq ft"
AGENT,1, 53 L,kasaradavali thane west,761,Ready to move,"6,964 / sq ft"
AGENT,2, 58.5 L,kasaradavali thane west,761,Ready to move,"7,687 / sq ft"
AGENT,2, 58.5 L,kasaradavali thane west,761,Ready to move,"7,687 / sq ft"
AGENT,2, 58.5 L,kasaradavali thane west,761,Ready to move,"7,687 / sq ft"
AGENT,2, 58.5 L,kasaradavali thane west,761,Ready to move,"7,687 / sq ft"
AGENT,1, 60.26 L,kasaradavali thane west,613,Under Construction,"9,830 / sq ft"
AGENT,1, 24 L,Virar East,650,Ready to move,"3,692 / sq ft"
AGENT,1, 52 L,kasaradavali thane west,509,Ready to move,"10,216 / sq ft"
AGENT,1, 42 L,kasaradavali thane west,561,Ready to move,"7,486 / sq ft"
AGENT,2, 95 L,kasaradavali thane west,850,Ready to move,"11,176 / sq ft"
AGENT,2, 75 L,kasaradavali thane west,850,Ready to move,"8,823 / sq ft"
AGENT,1, 19 L,Panvel,440,Under Construction,"4,318 / sq ft"
AGENT,1, 53.5 L,Panvel,680,Ready to move,"7,867 / sq ft"
AGENT,1, 60 L,Mira Road East,665,Ready to move,"9,022 / sq ft"
AGENT,3, 2.37 Cr,Kanjurmarg,1250,Ready to move,"18,960 / sq ft"
AGENT,2, 67.5 L,Dombivali,1167,Under Construction,"5,784 / sq ft"
AGENT,1, 1.65 Cr,Wadala,511,Ready to move,"32,289 / sq ft"
AGENT,2, 1.8 Cr,Goregaon West,1150,Ready to move,"15,652 / sq ft"
AGENT,1, 29.9 L,Virar,634,Ready to move,"4,716 / sq ft"
AGENT,1, 31 L,Virar,660,Ready to move,"4,696 / sq ft"
AGENT,1, 27.5 L,Virar West,550,Ready to move,"5,000 / sq ft"
AGENT,2, 56 L,Dombivali,684,Under Construction,"8,187 / sq ft"
