Apartments in Mumbai,,,,,,
Owner_info,BHK_Info,Price,Locality,Area in Sqft,Construction status,Price per/sqft
OWNER,1, 24 L,Kharghar,620,Ready to move,"3,870 / sq ft"
OWNER,1, 24 L,Kharghar,620,Ready to move,"3,870 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,1, 25 L,Kharghar,635,Ready to move,"3,937 / sq ft"
OWNER,1, 25 L,Kharghar,635,Ready to move,"3,937 / sq ft"
OWNER,1, 25 L,Kharghar,635,Ready to move,"3,937 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,1, 25 L,Kharghar,635,Ready to move,"3,937 / sq ft"
OWNER,1, 25 L,Kharghar,635,Ready to move,"3,937 / sq ft"
OWNER,1, 25 L,Kharghar,635,Ready to move,"3,937 / sq ft"
OWNER,1, 25 L,Kharghar,635,Ready to move,"3,937 / sq ft"
OWNER,1, 25 L,Kharghar,635,Ready to move,"3,937 / sq ft"
OWNER,5, 11.5 Cr,Juhu,3600,Ready to move,"31,944 / sq ft"
OWNER,5, 11.5 Cr,Juhu,3600,Ready to move,"31,944 / sq ft"
OWNER,2, 2.6 Cr,Tardeo,613,Ready to move,"42,414 / sq ft"
OWNER,2, 30 L,Taloje,944,Under Construction,"3,177 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,1, 25 L,Kharghar,635,Ready to move,"3,937 / sq ft"
OWNER,1, 25 L,Kharghar,635,Ready to move,"3,937 / sq ft"
OWNER,1, 25 L,Kharghar,635,Ready to move,"3,937 / sq ft"
OWNER,1, 25 L,Kharghar,635,Ready to move,"3,937 / sq ft"
OWNER,1, 25 L,Kharghar,635,Ready to move,"3,937 / sq ft"
AGENT,2, 2.5 Cr,Wadala,900,Ready to move,"27,777 / sq ft"
OWNER,2, 1.4 Cr,Borivali West,600,Under Construction,"23,333 / sq ft"
OWNER,1, 1.25 Cr,Kandivali West,550,Under Construction,"22,727 / sq ft"
OWNER,2, 1.4 Cr,Borivali West,600,Under Construction,"23,333 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,1, 23 L,Kharghar,610,Ready to move,"3,770 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,2, 1.75 Cr,Kandivali West,771,Ready to move,"22,697 / sq ft"
OWNER,4, 2.25 Cr,Panvel,1800,Ready to move,"12,500 / sq ft"
OWNER,1, 25.5 L,Dombivali East,370,Ready to move,"6,891 / sq ft"
OWNER,2, 82 L,Panvel,1005,Ready to move,"8,159 / sq ft"
OWNER,2, 82 L,Panvel,1005,Ready to move,"8,159 / sq ft"
OWNER,1, 18.5 L,Goregaon West,495,Ready to move,"3,737 / sq ft"
OWNER,1, 18.5 L,Goregaon West,495,Ready to move,"3,737 / sq ft"
OWNER,1, 18.5 L,Goregaon West,495,Ready to move,"3,737 / sq ft"
OWNER,1, 18.5 L,Goregaon West,495,Ready to move,"3,737 / sq ft"
OWNER,1, 18.5 L,Goregaon West,495,Ready to move,"3,737 / sq ft"
OWNER,1, 18.5 L,Goregaon West,495,Ready to move,"3,737 / sq ft"
OWNER,1, 18.6 L,Virar,468,Ready to move,"3,974 / sq ft"
OWNER,3, 50 L,Nere,1100,Ready to move,"4,545 / sq ft"
OWNER,3, 50 L,Nere,1100,Ready to move,"4,545 / sq ft"
OWNER,1, 82 L,Bhandup West,550,Ready to move,"14,909 / sq ft"
OWNER,3, 2.8 Cr,Kandivali West,1500,Ready to move,"18,666 / sq ft"
OWNER,3, 50 L,Nere,1100,Ready to move,"4,545 / sq ft"
OWNER,3, 50 L,Nere,1100,Ready to move,"4,545 / sq ft"
OWNER,3, 50 L,Nere,1100,Ready to move,"4,545 / sq ft"
OWNER,2, 1.5 Cr,Andheri West,800,Ready to move,"18,750 / sq ft"
OWNER,1, 13 L,SHAHAD STATION,360,Ready to move,"3,611 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 52 L,Thane West,530,Ready to move,"9,811 / sq ft"
OWNER,2, 1.25 Cr,Thane West,1125,Ready to move,"11,111 / sq ft"
OWNER,1, 52 L,Thane West,530,Ready to move,"9,811 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,2, 1.8 Cr,Ghatkopar East,770,Ready to move,"23,376 / sq ft"
OWNER,2, 1.8 Cr,Ghatkopar East,770,Ready to move,"23,376 / sq ft"
OWNER,2, 1.8 Cr,Ghatkopar East,770,Ready to move,"23,376 / sq ft"
OWNER,2, 1.8 Cr,Ghatkopar East,770,Ready to move,"23,376 / sq ft"
OWNER,2, 1.8 Cr,Ghatkopar East,770,Ready to move,"23,376 / sq ft"
OWNER,2, 2.75 Cr,Ville Parle East,840,Ready to move,"32,738 / sq ft"
OWNER,1, 15 L,SHAHAD STATION,360,Ready to move,"4,166 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 15 L,SHAHAD STATION,360,Ready to move,"4,166 / sq ft"
OWNER,2, 1.8 Cr,Ghatkopar East,770,Ready to move,"23,376 / sq ft"
OWNER,2, 1.8 Cr,Ghatkopar East,770,Ready to move,"23,376 / sq ft"
OWNER,2, 1.8 Cr,Ghatkopar East,770,Ready to move,"23,376 / sq ft"
OWNER,2, 1.8 Cr,Ghatkopar East,770,Ready to move,"23,376 / sq ft"
OWNER,2, 1.8 Cr,Ghatkopar East,770,Ready to move,"23,376 / sq ft"
OWNER,2, 1.8 Cr,Ghatkopar East,770,Ready to move,"23,376 / sq ft"
OWNER,2, 1.8 Cr,Ghatkopar East,770,Ready to move,"23,376 / sq ft"
OWNER,2, 1.8 Cr,Ghatkopar East,770,Ready to move,"23,376 / sq ft"
OWNER,2, 1.8 Cr,Ghatkopar East,770,Ready to move,"23,376 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 14 L,SHAHAD STATION,360,Ready to move,"3,888 / sq ft"
OWNER,1, 15 L,SHAHAD STATION,360,Ready to move,"4,166 / sq ft"
OWNER,Residential Plot, 4 L,Ranjanpada Uran Panvel Road,1089,Resale,367 / sq ft
AGENT,2, 55 L,Virar,975,Ready to move,Price
OWNER,1, 1.05 Cr,Thane West,650,Ready to move,"16,153 / sq ft"
OWNER,2, 2.25 Cr,Kandivali East,1185,Ready to move,"18,987 / sq ft"
OWNER,1, 29 L,Badlapur East,730,Ready to move,"3,972 / sq ft"
OWNER,1, 78 L,Bhayandar West,735,Ready to move,"10,612 / sq ft"
OWNER,1, 30 L,Bhuleshwar,150,Ready to move,"20,000 / sq ft"
OWNER,1, 30 L,Bhuleshwar,150,Ready to move,"20,000 / sq ft"
OWNER,1, 24 L,Kharghar,610,Ready to move,"3,934 / sq ft"
OWNER,1, 24 L,Kharghar,610,Ready to move,"3,934 / sq ft"
OWNER,1, 24 L,Kharghar,610,Ready to move,"3,934 / sq ft"
OWNER,1, 24 L,Kharghar,610,Ready to move,"3,934 / sq ft"
OWNER,1, 65 L,Bhuleshwar,380,Ready to move,"17,105 / sq ft"
OWNER,1, 27.5 L,Naigaon East,500,Ready to move,"5,500 / sq ft"
OWNER,1, 22 L,Taloje,700,Ready to move,"3,142 / sq ft"
OWNER,1, 22 L,Taloje,700,Ready to move,"3,142 / sq ft"
OWNER,1, 22 L,Taloje,700,Ready to move,"3,142 / sq ft"
OWNER,1, 22 L,Taloje,700,Ready to move,"3,142 / sq ft"
OWNER,1, 22 L,Taloje,700,Ready to move,"3,142 / sq ft"
OWNER,1, 22 L,Taloje,700,Ready to move,"3,142 / sq ft"
OWNER,1, 22 L,Taloje,700,Ready to move,"3,142 / sq ft"
OWNER,1, 65 L,Bhuleshwar,380,Ready to move,"17,105 / sq ft"
OWNER,1, 27.5 L,Naigaon East,500,Ready to move,"5,500 / sq ft"
OWNER,1, 27.5 L,Naigaon East,500,Ready to move,"5,500 / sq ft"
OWNER,1, 27.5 L,Naigaon East,500,Ready to move,"5,500 / sq ft"
OWNER,1, 26.5 L,Naigaon East,500,Ready to move,"5,300 / sq ft"
OWNER,1, 1.3 Cr,Borivali West,550,Ready to move,"23,636 / sq ft"
OWNER,1, 14.54 L,Saphale,490,Under Construction,"2,969 / sq ft"
OWNER,1, 14.54 L,Saphale,490,Under Construction,"2,969 / sq ft"
OWNER,1, 14.54 L,Saphale,490,Under Construction,"2,969 / sq ft"
OWNER,1, 24 L,Kharghar,610,Ready to move,"3,934 / sq ft"
OWNER,1, 24 L,Kharghar,610,Ready to move,"3,934 / sq ft"
OWNER,1, 89 L,Goregaon East,700,Ready to move,"12,714 / sq ft"
OWNER,1, 45 L,Koper Khairane,485,Ready to move,"9,278 / sq ft"
OWNER,1, 43 L,Koper Khairane,485,Ready to move,"8,865 / sq ft"
OWNER,2, 1.95 Cr,Chembur,1100,Ready to move,"17,727 / sq ft"
OWNER,1, 43 L,Koper Khairane,485,Ready to move,"8,865 / sq ft"
OWNER,1, 43 L,Koper Khairane,485,Ready to move,"8,865 / sq ft"
OWNER,1, 45 L,Koper Khairane,485,Ready to move,"9,278 / sq ft"
OWNER,1, 45 L,Koper Khairane,485,Ready to move,"9,278 / sq ft"
OWNER,1, 45 L,Koper Khairane,485,Ready to move,"9,278 / sq ft"
OWNER,1, 45 L,Koper Khairane,485,Ready to move,"9,278 / sq ft"
OWNER,3, 3.5 Cr,Santacruz East,1391,Ready to move,"25,161 / sq ft"
OWNER,2, 1.5 Cr,Koper Khairane,653,Under Construction,"22,970 / sq ft"
OWNER,2, 1.5 Cr,Koper Khairane,653,Under Construction,"22,970 / sq ft"
OWNER,2, 1.5 Cr,Koper Khairane,653,Under Construction,"22,970 / sq ft"
OWNER,2, 1.5 Cr,Koper Khairane,653,Under Construction,"22,970 / sq ft"
OWNER,1, 18.5 L,Goregaon West,485,Ready to move,"3,814 / sq ft"
OWNER,1, 43 L,Andheri East,350,Ready to move,"12,285 / sq ft"
OWNER,1, 33.5 L,Dombivli (West),565,Under Construction,"5,929 / sq ft"
OWNER,1, 25 L,Neral,459,Ready to move,"5,446 / sq ft"
OWNER,1, 24 L,Badlapur East,625,Ready to move,"3,840 / sq ft"
OWNER,1, 88 L,Vikhroli,533,Ready to move,"16,510 / sq ft"
OWNER,1, 88 L,Vikhroli,533,Ready to move,"16,510 / sq ft"
OWNER,1, 1.3 Cr,Borivali West,550,Ready to move,"23,636 / sq ft"
OWNER,1, 1.3 Cr,Borivali West,550,Ready to move,"23,636 / sq ft"
OWNER,1, 1.3 Cr,Borivali West,550,Ready to move,"23,636 / sq ft"
OWNER,1, 1.3 Cr,Borivali West,550,Ready to move,"23,636 / sq ft"
OWNER,1, 1.3 Cr,Borivali West,550,Ready to move,"23,636 / sq ft"
OWNER,1, 1.3 Cr,Borivali West,550,Ready to move,"23,636 / sq ft"
OWNER,1, 1.3 Cr,Borivali West,550,Ready to move,"23,636 / sq ft"
OWNER,1, 1.3 Cr,Borivali West,550,Ready to move,"23,636 / sq ft"
OWNER,1, 1.3 Cr,Borivali West,550,Ready to move,"23,636 / sq ft"
AGENT,1, 59 L,Kandivali East,400,Ready to move,"14,750 / sq ft"
AGENT,2, 1.47 Cr,Kandivali East,900,Ready to move,"16,333 / sq ft"
AGENT,2, 97 L,Kandivali East,660,Ready to move,"14,696 / sq ft"
AGENT,1, 1.7 Cr,Andheri East,550,Ready to move,"30,909 / sq ft"
AGENT,1, 1.02 Cr,Kandivali East,660,Ready to move,"15,454 / sq ft"
AGENT,2, 1.7 Cr,Kandivali East,1120,Ready to move,"15,178 / sq ft"
OWNER,1, 88 L,Vikhroli,533,Ready to move,"16,510 / sq ft"
OWNER,1, 1.5 Cr,Kanjurmarg,420,Ready to move,"35,714 / sq ft"
OWNER,4, 1.25 Cr,Panvel,2200,Ready to move,"5,681 / sq ft"
OWNER,1, 45 L,Dombivli (West),600,Ready to move,"7,500 / sq ft"
OWNER,1, 37 L,Panvel,800,Ready to move,"4,625 / sq ft"
OWNER,1, 1.5 Cr,Kanjurmarg,420,Ready to move,"35,714 / sq ft"
OWNER,4, 1.25 Cr,Panvel,2200,Ready to move,"5,681 / sq ft"
OWNER,1, 25 L,Taloja,670,Under Construction,"3,731 / sq ft"
OWNER,2, 30 L,Badlapur West,900,Ready to move,"3,333 / sq ft"
OWNER,2, 30 L,Badlapur West,900,Ready to move,"3,333 / sq ft"
OWNER,2, 30 L,Badlapur West,900,Ready to move,"3,333 / sq ft"
OWNER,2, 30 L,Badlapur West,900,Ready to move,"3,333 / sq ft"
OWNER,1, 60 L,Mira Road East,615,Ready to move,"9,756 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 15 L,Vangani,575,Ready to move,"2,608 / sq ft"
OWNER,1, 15 L,Vangani,575,Ready to move,"2,608 / sq ft"
OWNER,1, 5 L,Titwala,300,Ready to move,"1,666 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 5 L,Titwala,300,Ready to move,"1,666 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 46 L,Kalyan West,645,Ready to move,"7,131 / sq ft"
OWNER,1, 60 L,Mira Road East,615,Ready to move,"9,756 / sq ft"
OWNER,1, 46 L,Mira Road East,440,Ready to move,"10,454 / sq ft"
OWNER,1, 46 L,Mira Road East,440,Ready to move,"10,454 / sq ft"
OWNER,1, 46 L,Mira Road East,440,Ready to move,"10,454 / sq ft"
OWNER,1, 46 L,Mira Road East,440,Ready to move,"10,454 / sq ft"
OWNER,1, 46 L,Mira Road East,440,Ready to move,"10,454 / sq ft"
OWNER,2, 46 L,Mira Road East,440,Ready to move,"10,454 / sq ft"
OWNER,1, 46 L,Mira Road East,440,Ready to move,"10,454 / sq ft"
OWNER,1, 46 L,Mira Road East,440,Ready to move,"10,454 / sq ft"
OWNER,1, 28.5 L,Dombivali East,560,Ready to move,"5,089 / sq ft"
OWNER,2, 68 L,Vasai,945,Ready to move,"7,195 / sq ft"
OWNER,1, 63 L,Mira Road East,392,Ready to move,"16,071 / sq ft"
OWNER,3, 2.75 Cr,Chembur,1248,Ready to move,"22,035 / sq ft"
OWNER,2, 87 L,Kandivali West,800,Ready to move,"10,875 / sq ft"
OWNER,1, 65 L,Vikroli East,602,Under Construction,"10,797 / sq ft"
OWNER,5, 1.7 Cr,Dahisar East,2000,Ready to move,"8,500 / sq ft"
OWNER,2, 87 L,Kandivali West,800,Ready to move,"10,875 / sq ft"
OWNER,2, 4.25 Cr,Malabar Hill,800,Ready to move,"53,125 / sq ft"
OWNER,2, 1.15 Cr,Thane West,900,Ready to move,"12,777 / sq ft"
OWNER,2, 28 L,Badlapur West,830,Ready to move,"3,373 / sq ft"
OWNER,1, 50 L,Shil Phata,672,Ready to move,"7,440 / sq ft"
OWNER,1, 2.8 L,Shelu,200,Ready to move,"1,400 / sq ft"
OWNER,1, 2.8 L,Shelu,200,Ready to move,"1,400 / sq ft"
OWNER,1, 2.8 L,Shelu,200,Ready to move,"1,400 / sq ft"
OWNER,1, 5.5 L,Shelu,350,Ready to move,"1,571 / sq ft"
OWNER,1, 2.8 L,Shelu,200,Ready to move,"1,400 / sq ft"
OWNER,1, 2.8 L,Shelu,200,Ready to move,"1,400 / sq ft"
OWNER,1, 2.8 L,Shelu,200,Ready to move,"1,400 / sq ft"
OWNER,1, 5.5 L,Shelu,350,Ready to move,"1,571 / sq ft"
OWNER,1, 5.5 L,Shelu,350,Ready to move,"1,571 / sq ft"
OWNER,1, 5.5 L,Shelu,350,Ready to move,"1,571 / sq ft"
OWNER,1, 5.5 L,Shelu,350,Ready to move,"1,571 / sq ft"
OWNER,1, 5.5 L,Shelu,350,Ready to move,"1,571 / sq ft"
OWNER,1, 5.5 L,Shelu,350,Ready to move,"1,571 / sq ft"
OWNER,1, 5.49 L,Shelu,350,Ready to move,"1,571 / sq ft"
OWNER,1, 2.8 L,Shelu,200,Ready to move,"1,400 / sq ft"
OWNER,1, 5.5 L,Shelu,350,Ready to move,"1,571 / sq ft"
OWNER,1, 5.5 L,Shelu,350,Ready to move,"1,571 / sq ft"
OWNER,1, 5.5 L,Shelu,350,Ready to move,"1,571 / sq ft"
OWNER,1, 5.5 L,Shelu,350,Ready to move,"1,571 / sq ft"
OWNER,1, 2.8 L,Shelu,200,Ready to move,"1,400 / sq ft"
OWNER,1, 2.8 L,Shelu,200,Ready to move,"1,400 / sq ft"
OWNER,1, 5.5 L,Shelu,350,Ready to move,"1,571 / sq ft"
OWNER,1, 50 L,Shil Phata,672,Ready to move,"7,440 / sq ft"
OWNER,1, 38 L,Nala Sopara,550,Ready to move,"6,909 / sq ft"
OWNER,1, 40 L,Sion,300,Ready to move,"13,333 / sq ft"
OWNER,1, 45 L,Thane West,425,Ready to move,"10,588 / sq ft"
OWNER,3, 2.69 Cr,Goregaon West,1152,Ready to move,"23,350 / sq ft"
OWNER,3, 2.69 Cr,Goregaon West,1152,Ready to move,"23,350 / sq ft"
OWNER,2, 45 L,Naigaon East,695,Ready to move,"6,474 / sq ft"
OWNER,1, 19 L,Juinagar,390,Ready to move,"4,871 / sq ft"
OWNER,6, 16 Cr,Dadar West,3200,Ready to move,"50,000 / sq ft"
OWNER,6, 16 Cr,Dadar West,3200,Ready to move,"50,000 / sq ft"
OWNER,2, 2 Cr,Andheri West,980,Ready to move,"20,408 / sq ft"
OWNER,6, 16 Cr,Dadar West,3200,Ready to move,"50,000 / sq ft"
OWNER,6, 16 Cr,Dadar West,3200,Ready to move,"50,000 / sq ft"
OWNER,6, 16 Cr,Dadar West,3200,Ready to move,"50,000 / sq ft"
OWNER,6, 16 Cr,Dadar West,3200,Ready to move,"50,000 / sq ft"
OWNER,6, 16 Cr,Dadar West,3200,Ready to move,"50,000 / sq ft"
OWNER,6, 16 Cr,Dadar West,3200,Ready to move,"50,000 / sq ft"
OWNER,6, 16 Cr,Dadar West,3200,Ready to move,"50,000 / sq ft"
OWNER,1, 23 L,Badlapur West,640,Ready to move,"3,593 / sq ft"
OWNER,1, 23 L,Badlapur West,640,Ready to move,"3,593 / sq ft"
OWNER,1, 23 L,Badlapur West,640,Ready to move,"3,593 / sq ft"
OWNER,1, 32 L,Karanjade,1200,Under Construction,"2,666 / sq ft"
OWNER,1, 23 L,Badlapur West,640,Ready to move,"3,593 / sq ft"
OWNER,1, 32 L,Karanjade,1200,Under Construction,"2,666 / sq ft"
OWNER,1, 32 L,Karanjade,1200,Under Construction,"2,666 / sq ft"
OWNER,1, 32 L,Karanjade,1200,Under Construction,"2,666 / sq ft"
OWNER,1, 32 L,Karanjade,1200,Under Construction,"2,666 / sq ft"
OWNER,1, 32 L,Karanjade,630,Under Construction,"5,079 / sq ft"
OWNER,1, 65 L,Belapur,650,Ready to move,"10,000 / sq ft"
OWNER,2, 2.4 Cr,Mahim,700,Ready to move,"34,285 / sq ft"
OWNER,Residential Plot, 35 L,Vangani,10000,Resale,350 / sq ft
OWNER,Residential Plot, 35 L,Vangani,10000,Resale,350 / sq ft
OWNER,Residential Plot, 35 L,Vangani,10000,Resale,350 / sq ft
OWNER,Residential Plot, 35 L,Vangani,10000,Resale,350 / sq ft
OWNER,Residential Plot, 35 L,Vangani,10000,Resale,350 / sq ft
OWNER,Residential Plot, 35 L,Vangani,10000,Resale,350 / sq ft
OWNER,Residential Plot, 35 L,Vangani,10000,Resale,350 / sq ft
OWNER,Residential Plot, 35 L,Vangani,10000,Resale,350 / sq ft
OWNER,Residential Plot, 35 L,Vangani,10000,Resale,350 / sq ft
OWNER,3, 7.5 Cr,Juhu,1750,Ready to move,"42,857 / sq ft"
OWNER,3, 7.5 Cr,Juhu,1750,Ready to move,"42,857 / sq ft"
OWNER,1, 38 L,Dombivli (West),565,Ready to move,"6,725 / sq ft"
OWNER,2, 1.29 Cr,Seawoods,1103,Ready to move,"11,695 / sq ft"
OWNER,3, 1.72 Cr,Kharghar,1452,Ready to move,"11,845 / sq ft"
OWNER,2, 1.65 Cr,Nerul,1300,Ready to move,"12,692 / sq ft"
OWNER,2, 1.32 Cr,Seawoods,1103,Ready to move,"11,967 / sq ft"
OWNER,2, 1.32 Cr,Seawoods,1103,Ready to move,"11,967 / sq ft"
OWNER,1, 29.5 L,Naigaon East,500,Ready to move,"5,900 / sq ft"
OWNER,1, 29.5 L,Naigaon East,500,Ready to move,"5,900 / sq ft"
OWNER,1, 20 L,Mulund East,210,Ready to move,"9,523 / sq ft"
OWNER,1, 26 L,Naigaon East,500,Ready to move,"5,200 / sq ft"
OWNER,4, 6.5 Cr,Lower Parel,2050,Ready to move,"31,707 / sq ft"
OWNER,1, 81.5 L,Thane West,531,Ready to move,"15,348 / sq ft"
OWNER,3, 2.41 Cr,Ghatkopar East,1416,Ready to move,"17,019 / sq ft"
OWNER,1, 7 L,Nala Sopara,270,Ready to move,"2,592 / sq ft"
OWNER,2, 30 L,Khalapur,763,Ready to move,"3,931 / sq ft"
OWNER,1, 20.5 L,Karjat,750,Under Construction,"2,733 / sq ft"
OWNER,1, 25 L,Santosh Nagar,525,Ready to move,"4,761 / sq ft"
OWNER,2, 2 Cr,Goregaon West,960,Ready to move,"20,833 / sq ft"
OWNER,2, 1.7 Cr,Borivali East,930,Ready to move,"18,279 / sq ft"
OWNER,1, 58 L,Koper Khairane,485,Ready to move,"11,958 / sq ft"
OWNER,1, 9 L,Nerul,513,Ready to move,"1,754 / sq ft"
OWNER,1, 9 L,Nerul,513,Ready to move,"1,754 / sq ft"
AGENT,2, 1.7 Cr,Malad West,1290,Under Construction,"13,178 / sq ft"
AGENT,2, 1.7 Cr,Malad West,1290,Under Construction,"13,178 / sq ft"
AGENT,2, 1.7 Cr,Malad West,1290,Under Construction,"13,178 / sq ft"
AGENT,2, 1.7 Cr,Malad West,1290,Under Construction,"13,178 / sq ft"
AGENT,2, 1.7 Cr,Malad West,1290,Under Construction,"13,178 / sq ft"
AGENT,1, 55 L,kasaradavali thane west,630,Ready to move,"8,730 / sq ft"
AGENT,3, 2.4 Cr,Malad West,1850,Under Construction,"12,972 / sq ft"
AGENT,3, 2.4 Cr,Malad West,1850,Under Construction,"12,972 / sq ft"
AGENT,3, 2.4 Cr,Malad West,1850,Under Construction,"12,972 / sq ft"
AGENT,2, 1.7 Cr,Malad West,1290,Under Construction,"13,178 / sq ft"
AGENT,2, 1.7 Cr,Malad West,1290,Under Construction,"13,178 / sq ft"
AGENT,2, 1.7 Cr,Malad West,1290,Under Construction,"13,178 / sq ft"
AGENT,3, 2.4 Cr,Malad West,1850,Under Construction,"12,972 / sq ft"
AGENT,2, 1.7 Cr,Malad West,1290,Under Construction,"13,178 / sq ft"
AGENT,2, 1.7 Cr,Malad West,1290,Under Construction,"13,178 / sq ft"
